"","ID","adjP.qn","adjP.dp5","WicoxonP"
"1","ADAM12",4.20964447675202e-33,7.21559900527826e-11,0.20785403251648
"2","ADAM8",4.01498429228167e-47,5.89381769047349e-94,NA
"3","ADCY7",NA,0.0224725089273911,NA
"4","ASPN",3.88067882113178e-11,2.42444617168387e-09,NA
"5","BGN",9.23064841061143e-14,4.18702628020451e-13,NA
"6","CCR7",NA,3.18579065578632e-08,NA
"7","CD27",3.52374830381425e-30,1.72417139916253e-41,NA
"8","CD3D",NA,1.57024089769447e-13,NA
"9","CILP",2.65869107328899e-15,9.35797105768295e-08,NA
"10","COL10A1",5.41008357832413e-73,9.66178366447435e-66,NA
"11","COL15A1",5.41696737510427e-17,1.03392386099534e-25,NA
"12","COL1A2",1.06071995437057e-30,1.03050883574425e-23,NA
"13","COL3A1",3.29523978316016e-54,7.9579507767396e-41,NA
"14","COL5A3",NA,9.18028858055093e-11,NA
"15","COL6A3",1.17428119645676e-37,5.92368047452677e-46,NA
"16","COL8A2",NA,3.24093243307167e-07,NA
"17","COMP",8.24204237430963e-24,3.30985894458822e-20,NA
"18","CXCL14",4.11780945519648e-17,3.34486476940133e-23,NA
"19","CXCL9",1.68093100917637e-10,3.59452506092373e-09,NA
"20","DIO2",4.10341377039763e-23,8.69433330766377e-05,NA
"21","FAP",2.22599602653542e-47,1.30761514482251e-15,NA
"22","FCGR2B",NA,1.28238618950686e-06,NA
"23","FMO1",1.98038365511922e-13,NA,NA
"24","FRZB",NA,0.000173215031781446,NA
"25","GREM1",1.03270042518915e-40,5.56888622352502e-14,NA
"26","GZMK",NA,6.07976120783395e-07,NA
"27","HEPH",NA,0.0054366005503386,NA
"28","IL2RB",NA,1.83908404211933e-06,NA
"29","ISLR",5.81463738316155e-14,NA,NA
"30","ITGA4",NA,0.00670726266562684,NA
"31","ITGBL1",NA,4.51118703530298e-07,NA
"32","LCK",NA,1.4122962922343e-14,NA
"33","LRRC15",4.72678442376767e-19,9.93188055838272e-11,NA
"34","LTB",1.03690310718294e-17,3.49583178868383e-23,NA
"35","LY96",3.13727598162362e-17,NA,NA
"36","MMP3",2.28364359203758e-13,NA,NA
"37","MXRA5",1.06670476998503e-30,3.06233419594767e-47,NA
"38","NOX4",1.76931557365761e-15,NA,NA
"39","OLFML2B",3.02907680147788e-26,1.92083381583416e-35,NA
"40","PLXDC1",NA,2.82277774222397e-06,NA
"41","PLXNC1",NA,1.90142324065976e-19,NA
"42","PSTPIP1",NA,7.02360370650345e-05,NA
"43","RGS1",3.23871981686763e-17,7.68610785769034e-20,NA
"44","RHOH",NA,0.00163120865791343,NA
"45","SCUBE2",NA,0.0155933701354202,NA
"46","SELL",NA,0.00105342912854965,NA
"47","SFRP4",1.27725952052569e-15,1.00338194376625e-16,NA
"48","SPON2",NA,1.14058410148052e-05,NA
"49","SULF1",2.43327429327171e-45,1.01774618418421e-81,NA
"50","TAP1",1.67016557877707e-18,NA,NA
"51","THBS2",9.58520261954562e-61,2.7115776213727e-109,NA
"52","TNFSF4",2.49696819587822e-21,NA,NA
"53","VAV1",NA,0.000242141894707924,NA
"54","VCAM1",2.78984583307689e-20,3.09172756335519e-25,NA
"55","ZAP70",NA,2.00257126885738e-05,NA
